Make,Model,Year,Fuel Type,MPG Data,Combined Mpg For Fuel Type1,Co2  Tailpipe For Fuel Type1,Engine displacement
Daewoo,Lanos,2000,Regular,Y,24,370.2916666666667,1.6
BMW,M3 Convertible,2001,Premium,Y,17,522.7647058823529,3.2
Honda,Civic HX,2001,Regular,Y,34,261.38235294117646,1.7
Honda,Civic,2003,Regular,Y,30,296.23333333333335,1.7
Toyota,C-HR,2019,Regular,Y,29,305.0,2.0
Hyundai,Accent,2020,Regular,Y,36,248.0,1.6
Suzuki,Kizashi AWD,2010,Regular,Y,25,355.48,2.4
Nissan,Frontier 2WD,2004,Regular,Y,19,467.7368421052632,2.4
Subaru,Legacy Wagon AWD,2005,Regular,Y,23,386.39130434782606,2.5
Suzuki,Grand Vitara XL7 4WD,2003,Regular,Y,16,555.4375,2.7
Chevrolet,Silverado 1500 4WD,2005,Gasoline or E85,Y,15,592.4666666666667,5.3
Nissan,Frontier 2WD,2001,Regular,Y,21,423.1904761904762,2.4
Volkswagen,Jetta Wagon,2002,Regular,Y,22,403.95454545454544,2.0
Dodge,Ram 1500 Pickup 2WD,2002,Regular,Y,12,740.5833333333334,5.9
Mazda,Tribute 2WD,2002,Regular,Y,22,403.95454545454544,2.0
Lexus,LX 470,2002,Regular,Y,13,683.6153846153846,4.7
Toyota,Tundra 4WD,2003,Regular,Y,14,634.7857142857143,4.7
Hyundai,Santa Fe 2WD,2004,Regular,Y,17,522.7647058823529,3.5
Lexus,RX 330 4WD,2004,Regular,Y,19,467.7368421052632,3.3
Infiniti,QX56 4WD,2005,Regular,Y,14,634.7857142857143,5.6
Mercedes-Benz,SLK350,2006,Premium,Y,19,467.7368421052632,3.5
Buick,Terraza FWD,2006,Regular,Y,19,467.7368421052632,3.5
Acura,TL,2008,Premium,Y,21,423.1904761904762,3.5
Ford,Fusion FWD,2011,Regular,Y,24,370.2916666666667,2.5
Ford,Lightning Pickup 2WD,2000,Premium,Y,13,683.6153846153846,5.4
Chevrolet,Cavalier,2001,Regular,Y,23,386.39130434782606,2.4
Volkswagen,Jetta,2002,Diesel,Y,38,267.89473684210526,1.9
Toyota,Tundra 4WD,2002,Regular,Y,14,634.7857142857143,4.7
Chevrolet,Astro AWD (passenger),2002,Regular,Y,15,592.4666666666667,4.3
Dodge,Caravan/Grand Caravan 2WD,2002,Gasoline or E85,Y,18,493.72222222222223,3.3
Volkswagen,Passat Wagon 4motion,2003,Premium,Y,19,467.7368421052632,2.8
Dodge,Ram 1500 Pickup 2WD,2005,Premium,Y,9,987.4444444444443,8.3
Saturn,Astra 4DR Hatchback,2008,Regular,Y,27,329.14814814814815,1.8
Acura,TSX,2010,Premium,Y,21,423.1904761904762,3.5
Cadillac,CTS-V,2010,Premium,Y,14,634.7857142857143,6.2
Toyota,Avalon,2010,Regular,Y,23,386.39130434782606,3.5
Acura,MDX 4WD,2011,Premium,Y,18,493.72222222222223,3.7
Jeep,Patriot 4WD,2011,Regular,Y,21,423.1904761904762,2.4
Mazda,3,2012,Regular,Y,23,386.39130434782606,2.5
Honda,Civic,2014,Regular,Y,33,273.0,1.8
Scion,FR-S,2015,Premium,Y,24,362.0,2.0
BMW,X1 xDrive28i,2016,Premium,Y,25,349.0,2.0
Jeep,Grand Cherokee 4WD,2017,Regular,Y,21,427.0,3.6
Toyota,Sienna 2WD,2017,Regular,Y,22,409.0,3.5
Mitsubishi,Outlander 4WD,2003,Regular,Y,20,444.35,2.4
Lincoln,LS,2004,Premium,Y,21,423.1904761904762,3.0
Ford,Explorer 2WD,2004,Regular,Y,15,592.4666666666667,4.6
Toyota,Tundra 2WD,2006,Regular,Y,15,592.4666666666667,4.7
Lexus,ES 350,2007,Premium,Y,22,403.95454545454544,3.5
Pontiac,G5/Pursuit,2008,Regular,Y,26,341.8076923076923,2.2
Dodge,Caravan/Grand Caravan FWD,2009,Gasoline or E85,Y,19,467.7368421052632,3.3
Nissan,350z,2003,Premium,Y,19,467.7368421052632,3.5
Ford,Focus,2003,Regular,Y,26,341.8076923076923,2.0
Honda,Civic,2003,Regular,Y,29,306.44827586206895,1.7
Mercury,Sable,2002,Regular,Y,21,423.1904761904762,3.0
Pontiac,Montana FWD,2002,Regular,Y,20,444.35,3.4
Mercedes-Benz,C240 4matic,2003,Premium,Y,19,467.7368421052632,2.6
Kia,Sephia/Spectra,2001,Regular,Y,24,370.2916666666667,1.8
Chevrolet,Blazer 2WD,2002,Regular,Y,16,555.4375,4.3
BMW,330i,2003,Premium,Y,22,403.95454545454544,3.0
Lexus,ES 300,2003,Regular,Y,21,423.1904761904762,3.0
Subaru,Outback AWD,2019,Regular,Y,28,320.0,2.5
Ford,Expedition MAX 4WD,2019,Regular,Y,18,493.0,3.5
BMW,328i,2012,Premium,Y,26,341.8076923076923,2.0
Chevrolet,Tracker LT 4WD,2003,Regular,Y,17,522.7647058823529,2.5
Lexus,IS 250 AWD,2006,Premium,Y,22,403.95454545454544,2.5
Hyundai,Elantra,2006,Regular,Y,24,370.2916666666667,2.0
Infiniti,QX56 4WD,2008,Premium,Y,14,634.7857142857143,5.6
Ford,Mustang,2009,Premium,Y,16,555.4375,5.4
Volkswagen,GTI,2012,Premium,Y,25,355.48,2.0
Mitsubishi,Outlander 4WD,2013,Regular,Y,24,374.0,2.4
Subaru,Outback Wilderness AWD,2022,Regular,Y,24,377.0,2.4
Chrysler,PT Cruiser,2001,Regular,Y,20,444.35,2.4
Volkswagen,Touareg,2006,Premium,Y,16,555.4375,3.2
Infiniti,G35,2008,Premium,Y,20,444.35,3.5
Chevrolet,Traverse AWD,2010,Regular,Y,19,467.7368421052632,3.6
Kia,Sorento 4WD,2011,Regular,Y,23,386.39130434782606,2.4
Volkswagen,Jetta,2011,Regular,Y,27,329.14814814814815,2.5
Nissan,Rogue FWD,2018,Regular,Y,29,310.0,2.5
Toyota,Highlander AWD,2020,Regular,Y,23,387.0,3.5
Acura,MDX 2WD,2016,Premium,Y,22,406.0,3.5
BMW,X3 xDrive28i,2016,Premium,Y,24,375.0,2.0
Saturn,L100/200,2001,Regular,Y,24,370.2916666666667,2.2
Toyota,Camry,2002,Regular,Y,24,370.2916666666667,2.4
BMW,325xi Sport Wagon,2002,Premium,Y,19,467.7368421052632,2.5
Toyota,Prius AWD XLE/LTD,2024,Regular,Y,49,179.0,2.0
Honda,Insight Touring,2021,Regular,Y,48,184.0,1.5
Jeep,Renegade 2WD,2015,Premium,Y,26,336.0,1.4
Ford,Expedition 4WD,2003,Regular,Y,14,634.7857142857143,5.4
Mazda,3,2006,Regular,Y,26,341.8076923076923,2.0
Mercedes-Benz,CLS550,2007,Premium,Y,16,555.4375,5.5
Lexus,IS 350,2007,Premium,Y,21,423.1904761904762,3.5
Jeep,Grand Cherokee 2WD,2007,Diesel,Y,20,509.0,3.0
Jeep,Grand Cherokee 4WD,2008,Regular,Y,15,592.4666666666667,5.7
Ford,Taurus,2002,Regular,Y,20,444.35,3.0
Volvo,XC60 FWD,2010,Regular,Y,21,423.1904761904762,3.2
Volkswagen,Jetta,2012,Diesel,Y,32,318.0,2.0
Ford,Taurus AWD FFV,2013,Gasoline or E85,Y,21,426.0,3.5
Volkswagen,Golf,2013,Diesel,Y,32,315.0,2.0
Dodge,Grand Caravan,2014,Gasoline or E85,Y,20,445.0,3.6
Mazda,626,2002,Regular,Y,22,403.95454545454544,2.0
Mercedes-Benz,C230 Kompressor Sports Coupe,2004,Premium,Y,23,386.39130434782606,1.8
Chevrolet,Colorado Crew Cab 2WD,2006,Regular,Y,19,467.7368421052632,3.5
Pontiac,G6,2007,Regular,Y,21,423.1904761904762,3.5
BMW,X5 xDrive35i,2017,Premium,Y,20,434.0,3.0
Chevrolet,Avalanche 1500 2WD,2003,Regular,Y,14,634.7857142857143,5.3
Dodge,Ram 1500 Pickup 2WD,2006,Premium,Y,9,987.4444444444443,8.3
Chevrolet,Aveo,2007,Regular,Y,26,341.8076923076923,1.6
Chevrolet,Uplander FWD,2008,Regular,Y,19,467.7368421052632,3.9
Ford,Escape FWD,2008,Regular,Y,24,370.2916666666667,2.3
Honda,Element 4WD,2009,Regular,Y,21,423.1904761904762,2.4
Chevrolet,S10 Pickup 2WD,2000,Regular,Y,18,493.72222222222223,4.3
Lincoln,Continental,2001,Premium,Y,18,493.72222222222223,4.6
